Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Match Report,B/A Rule
Alisson,2018-04-18,Wed,Serie A,Matchweek 33,Home,W 2–1,Roma,Genoa,Y,GK,90,1,1,0,0,0,0.4,0,0,0,0,Match Report,FALSE
Alisson,2018-04-21,Sat,Serie A,Matchweek 34,Away,W 3–0,Roma,SPAL,Y,GK,90,3,0,3,100,1,0.6,0,0,0,0,Match Report,FALSE
Alisson,2018-04-24,Tue,Champions Lg,Semi-finals,Away,L 2–5,it Roma,eng Liverpool,Y,GK,90,11,5,6,54.5,0,4.4,0,0,0,0,Match Report,FALSE
Alisson,2018-04-28,Sat,Serie A,Matchweek 35,Home,W 4–1,Roma,Chievo,Y,GK,90,6,1,4,83.3,0,2,1,0,1,0,Match Report,FALSE
Alisson,2018-05-02,Wed,Champions Lg,Semi-finals,Home,W 4–2,it Roma,eng Liverpool,Y,GK,90,5,2,3,60,0,1.9,0,0,0,0,Match Report,FALSE
Alisson,2018-05-06,Sun,Serie A,Matchweek 36,Away,W 1–0,Roma,Cagliari,Y,GK,90,2,0,2,100,1,0.6,0,0,0,0,Match Report,FALSE
Alisson,2018-05-13,Sun,Serie A,Matchweek 37,Home,D 0–0,Roma,Juventus,Y,GK,90,0,0,0,,1,0,0,0,0,0,Match Report,FALSE
Alisson,2018-06-03,Sun,Friendlies (M),Friendlies (M),Home,W 2–0,br Brazil,hr Croatia,Y,GK,90,,0,,,1,,0,0,0,0,Match Report,FALSE
Alisson,2018-06-10,Sun,Friendlies (M),Friendlies (M),Away,W 3–0,br Brazil,at Austria,Y,GK,90,,0,,,1,,0,0,0,0,Match Report,FALSE
Alisson,2018-06-17,Sun,World Cup,Group stage,Neutral,D 1–1,br Brazil,ch Switzerland,Y,GK,90,2,1,1,50,0,1.1,0,0,0,0,Match Report,FALSE
Alisson,2018-06-22,Fri,World Cup,Group stage,Neutral,W 2–0,br Brazil,cr Costa Rica,Y,GK,90,0,0,0,,1,0,0,0,0,0,Match Report,FALSE
Alisson,2018-06-27,Wed,World Cup,Group stage,Neutral,W 2–0,br Brazil,rs Serbia,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,Match Report,FALSE
Ederson,2017-08-12,Sat,Premier League,Matchweek 1,Away,W 2–0,Manchester City,Brighton,Y,GK,90,2,0,2,100,1,0.2,0,0,0,0,Match Report,FALSE
Ederson,2017-08-21,Mon,Premier League,Matchweek 2,Home,D 1–1,Manchester City,Everton,Y,GK,90,2,1,1,50,0,0.8,0,0,0,0,Match Report,FALSE
Ederson,2017-08-26,Sat,Premier League,Matchweek 3,Away,W 2–1,Manchester City,Bournemouth,Y,GK,90,3,1,2,66.7,0,1.2,0,0,0,0,Match Report,FALSE
Ederson,2017-09-09,Sat,Premier League,Matchweek 4,Home,W 5–0,Manchester City,Liverpool,Y,GK,44,3,,3,,,1.1,,,,,Match Report,FALSE
Ederson,2017-09-13,Wed,Champions Lg,Group stage,Away,W 4–0,eng Manchester City,nl Feyenoord,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,Match Report,FALSE
Ederson,2017-09-16,Sat,Premier League,Matchweek 5,Away,W 6–0,Manchester City,Watford,Y,GK,90,1,0,1,100,1,0.6,0,0,0,0,Match Report,FALSE
Ederson,2017-09-23,Sat,Premier League,Matchweek 6,Home,W 5–0,Manchester City,Crystal Palace,Y,GK,90,0,0,0,,1,0,0,0,0,0,Match Report,FALSE
Ederson,2017-09-26,Tue,Champions Lg,Group stage,Home,W 2–0,eng Manchester City,ua Shakhtar,Y,GK,90,2,0,2,100,1,0.6,0,0,0,0,Match Report,FALSE
Ederson,2017-09-30,Sat,Premier League,Matchweek 7,Away,W 1–0,Manchester City,Chelsea,Y,GK,90,2,0,2,100,1,0.3,0,0,0,0,Match Report,FALSE
Ederson,2017-10-10,Tue,WCQ,WCQ — CONMEBOL (M),Home,W 3–0,br Brazil,cl Chile,Y,,90,,0,,,1,,0,0,0,0,Match Report,FALSE
Ederson,2017-10-14,Sat,Premier League,Matchweek 8,Home,W 7–2,Manchester City,Stoke City,Y,GK,90,1,2,0,-100,0,0,0,0,0,0,Match Report,FALSE
Ederson,2017-10-17,Tue,Champions Lg,Group stage,Home,W 2–1,eng Manchester City,it Napoli,Y,GK,90,4,1,2,100,0,2.1,2,1,1,0,Match Report,FALSE
Ederson,2017-10-21,Sat,Premier League,Matchweek 9,Home,W 3–0,Manchester City,Burnley,Y,GK,90,0,0,0,,1,0,0,0,0,0,Match Report,FALSE
Ederson,2017-10-28,Sat,Premier League,Matchweek 10,Away,W 3–2,Manchester City,West Brom,Y,GK,90,4,2,2,50,0,1.9,0,0,0,0,Match Report,FALSE
Ederson,2017-11-01,Wed,Champions Lg,Group stage,Away,W 4–2,eng Manchester City,it Napoli,Y,GK,90,6,2,4,83.3,0,3.2,1,1,0,0,Match Report,FALSE
Ederson,2017-11-05,Sun,Premier League,Matchweek 11,Home,W 3–1,Manchester City,Arsenal,Y,GK,90,3,1,2,66.7,0,0.6,0,0,0,0,Match Report,FALSE
Ederson,2017-11-18,Sat,Premier League,Matchweek 12,Away,W 2–0,Manchester City,Leicester City,Y,GK,90,0,0,0,,1,0,0,0,0,0,Match Report,FALSE
Ederson,2017-11-21,Tue,Champions Lg,Group stage,Home,W 1–0,eng Manchester City,nl Feyenoord,Y,GK,90,3,0,3,100,1,0.2,0,0,0,0,Match Report,FALSE
Ederson,2017-11-26,Sun,Premier League,Matchweek 13,Away,W 2–1,Manchester City,Huddersfield,Y,GK,90,0,1,0,,0,0,0,0,0,0,Match Report,FALSE
Ederson,2017-11-29,Wed,Premier League,Matchweek 14,Home,W 2–1,Manchester City,Southampton,Y,GK,90,2,1,1,50,0,1.1,0,0,0,0,Match Report,FALSE
Ederson,2017-12-03,Sun,Premier League,Matchweek 15,Home,W 2–1,Manchester City,West Ham,Y,GK,90,4,1,3,75,0,0.6,0,0,0,0,Match Report,FALSE
Ederson,2017-12-06,Wed,Champions Lg,Group stage,Away,L 1–2,eng Manchester City,ua Shakhtar,Y,GK,90,6,2,4,66.7,0,2.1,0,0,0,0,Match Report,FALSE
Ederson,2017-12-10,Sun,Premier League,Matchweek 16,Away,W 2–1,Manchester City,Manchester Utd,Y,GK,90,5,1,4,80,0,1.8,0,0,0,0,Match Report,FALSE
Ederson,2017-12-13,Wed,Premier League,Matchweek 17,Away,W 4–0,Manchester City,Swansea City,Y,GK,90,3,0,3,100,1,0.3,0,0,0,0,Match Report,FALSE
Ederson,2017-12-16,Sat,Premier League,Matchweek 18,Home,W 4–1,Manchester City,Tottenham,Y,GK,90,2,1,1,50,0,0.7,0,0,0,0,Match Report,FALSE
Ederson,2017-12-23,Sat,Premier League,Matchweek 19,Home,W 4–0,Manchester City,Bournemouth,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,Match Report,FALSE
Ederson,2017-12-27,Wed,Premier League,Matchweek 20,Away,W 1–0,Manchester City,Newcastle Utd,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,Match Report,FALSE
Ederson,2017-12-31,Sun,Premier League,Matchweek 21,Away,D 0–0,Manchester City,Crystal Palace,Y,GK,90,1,0,0,100,1,0.9,1,0,1,0,Match Report,FALSE
Ederson,2018-01-02,Tue,Premier League,Matchweek 22,Home,W 3–1,Manchester City,Watford,Y,GK,90,4,1,3,75,0,1.5,0,0,0,0,Match Report,FALSE
Ederson,2018-01-14,Sun,Premier League,Matchweek 23,Away,L 3–4,Manchester City,Liverpool,Y,GK,90,7,4,3,42.9,0,2.1,0,0,0,0,Match Report,FALSE
Ederson,2018-01-20,Sat,Premier League,Matchweek 24,Home,W 3–1,Manchester City,Newcastle Utd,Y,GK,90,4,1,3,75,0,0.8,0,0,0,0,Match Report,FALSE
Ederson,2018-01-31,Wed,Premier League,Matchweek 25,Home,W 3–0,Manchester City,West Brom,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,Match Report,FALSE
Ederson,2018-02-03,Sat,Premier League,Matchweek 26,Away,D 1–1,Manchester City,Burnley,Y,GK,90,3,1,2,66.7,0,1.4,0,0,0,0,Match Report,FALSE
Ederson,2018-02-10,Sat,Premier League,Matchweek 27,Home,W 5–1,Manchester City,Leicester City,Y,GK,90,2,1,1,50,0,0.3,0,0,0,0,Match Report,FALSE
Ederson,2018-02-13,Tue,Champions Lg,Round of 16,Away,W 4–0,eng Manchester City,ch Basel,Y,GK,90,3,0,3,100,1,0.8,0,0,0,0,Match Report,FALSE
Ederson,2018-03-01,Thu,Premier League,Matchweek 28,Away,W 3–0,Manchester City,Arsenal,Y,GK,90,5,0,4,100,1,1.4,1,0,1,0,Match Report,FALSE
Ederson,2018-03-04,Sun,Premier League,Matchweek 29,Home,W 1–0,Manchester City,Chelsea,Y,GK,90,0,0,0,,1,0,0,0,0,0,Match Report,FALSE
Ederson,2018-03-12,Mon,Premier League,Matchweek 30,Away,W 2–0,Manchester City,Stoke City,Y,GK,90,0,0,0,,1,0,0,0,0,0,Match Report,FALSE
Ederson,2018-03-31,Sat,Premier League,Matchweek 32,Away,W 3–1,Manchester City,Everton,Y,GK,90,2,1,1,50,0,0.6,0,0,0,0,Match Report,FALSE
Ederson,2018-04-04,Wed,Champions Lg,Quarter-finals,Away,L 0–3,eng Manchester City,eng Liverpool,Y,GK,90,5,3,2,40,0,2.5,0,0,0,0,Match Report,FALSE
Ederson,2018-04-07,Sat,Premier League,Matchweek 33,Home,L 2–3,Manchester City,Manchester Utd,Y,GK,90,4,3,1,25,0,2,0,0,0,0,Match Report,FALSE
Ederson,2018-04-10,Tue,Champions Lg,Quarter-finals,Home,L 1–2,eng Manchester City,eng Liverpool,Y,GK,90,3,2,1,33.3,0,1.3,0,0,0,0,Match Report,FALSE
Ederson,2018-04-14,Sat,Premier League,Matchweek 34,Away,W 3–1,Manchester City,Tottenham,Y,GK,90,3,1,2,66.7,0,0.5,0,0,0,0,Match Report,FALSE
Ederson,2018-04-22,Sun,Premier League,Matchweek 35,Home,W 5–0,Manchester City,Swansea City,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,Match Report,FALSE
Ederson,2018-04-29,Sun,Premier League,Matchweek 36,Away,W 4–1,Manchester City,West Ham,Y,GK,90,1,1,0,0,0,0.2,0,0,0,0,Match Report,FALSE
Ederson,2018-05-06,Sun,Premier League,Matchweek 37,Home,D 0–0,Manchester City,Huddersfield,Y,GK,90,3,0,3,100,1,0.6,0,0,0,0,Match Report,FALSE
Lloris,2017-08-13,Sun,Premier League,Matchweek 1,Away,W 2–0,Tottenham,Newcastle Utd,Y*,GK,90,2,0,2,100,1,0.6,0,0,0,0,Match Report,FALSE
Lloris,2017-08-20,Sun,Premier League,Matchweek 2,Home,L 1–2,Tottenham,Chelsea,Y*,GK,90,2,2,0,0,0,0.8,0,0,0,0,Match Report,FALSE
Lloris,2017-08-27,Sun,Premier League,Matchweek 3,Home,D 1–1,Tottenham,Burnley,Y*,GK,90,3,1,2,66.7,0,0.6,0,0,0,0,Match Report,FALSE
Lloris,2017-08-31,Thu,WCQ,First round,Home,W 4–0,fr France,nl Netherlands,Y*,GK,90,,0,,,1,,0,0,0,0,Match Report,FALSE
Lloris,2017-09-03,Sun,WCQ,First round,Home,D 0–0,fr France,lu Luxembourg,Y*,GK,90,,0,,,1,,0,0,0,0,Match Report,FALSE
Lloris,2017-09-09,Sat,Premier League,Matchweek 4,Away,W 3–0,Tottenham,Everton,Y*,GK,90,1,0,1,100,1,0.5,0,0,0,0,Match Report,FALSE
Lloris,2017-09-13,Wed,Champions Lg,Group stage,Home,W 3–1,eng Tottenham,de Dortmund,Y*,GK,90,2,1,1,50,0,0.9,0,0,0,0,Match Report,FALSE
Lloris,2017-09-16,Sat,Premier League,Matchweek 5,Home,D 0–0,Tottenham,Swansea City,Y*,GK,90,0,0,0,,1,0,0,0,0,0,Match Report,FALSE
Lloris,2017-09-23,Sat,Premier League,Matchweek 6,Away,W 3–2,Tottenham,West Ham,Y*,GK,90,4,2,2,50,0,0.6,0,0,0,0,Match Report,FALSE
Lloris,2017-09-26,Tue,Champions Lg,Group stage,Away,W 3–0,eng Tottenham,cy APOEL FC,Y*,GK,90,3,0,3,100,1,0.2,0,0,0,0,Match Report,FALSE
Lloris,2017-09-30,Sat,Premier League,Matchweek 7,Away,W 4–0,Tottenham,Huddersfield,Y*,GK,90,1,0,1,100,1,0.1,0,0,0,0,Match Report,FALSE
Lloris,2017-10-07,Sat,WCQ,First round,Away,W 1–0,fr France,bg Bulgaria,Y*,GK,90,,0,,,1,,0,0,0,0,Match Report,FALSE
Lloris,2017-10-10,Tue,WCQ,First round,Home,W 2–1,fr France,by Belarus,Y*,GK,90,,1,,,0,,0,0,0,0,Match Report,FALSE
Lloris,2017-10-14,Sat,Premier League,Matchweek 8,Home,W 1–0,Tottenham,Bournemouth,Y*,GK,90,1,0,1,100,1,0.3,0,0,0,0,Match Report,FALSE
Lloris,2017-10-17,Tue,Champions Lg,Group stage,Away,D 1–1,eng Tottenham,es Real Madrid,Y*,GK,90,8,1,7,100,0,2.6,1,1,0,0,Match Report,FALSE
Lloris,2017-10-22,Sun,Premier League,Matchweek 9,Home,W 4–1,Tottenham,Liverpool,Y*,GK,90,7,1,6,85.7,0,1.8,0,0,0,0,Match Report,FALSE
Lloris,2017-10-28,Sat,Premier League,Matchweek 10,Away,L 0–1,Tottenham,Manchester Utd,Y*,GK,90,3,1,2,66.7,0,1.3,0,0,0,0,Match Report,FALSE
Lloris,2017-11-01,Wed,Champions Lg,Group stage,Home,W 3–1,eng Tottenham,es Real Madrid,Y*,GK,90,9,1,8,88.9,0,2.5,0,0,0,0,Match Report,FALSE
Lloris,2017-11-18,Sat,Premier League,Matchweek 12,Away,L 0–2,Tottenham,Arsenal,Y*,GK,90,5,2,3,60,0,3,0,0,0,0,Match Report,FALSE
Lloris,2017-11-21,Tue,Champions Lg,Group stage,Away,W 2–1,eng Tottenham,de Dortmund,Y*,GK,90,3,1,2,66.7,0,0.9,0,0,0,0,Match Report,FALSE
Lloris,2017-11-25,Sat,Premier League,Matchweek 13,Home,D 1–1,Tottenham,West Brom,Y*,GK,90,2,1,1,50,0,0.7,0,0,0,0,Match Report,FALSE
Lloris,2017-11-28,Tue,Premier League,Matchweek 14,Away,L 1–2,Tottenham,Leicester City,Y*,GK,90,3,2,1,33.3,0,0.8,0,0,0,0,Match Report,FALSE
Lloris,2017-12-02,Sat,Premier League,Matchweek 15,Away,D 1–1,Tottenham,Watford,Y*,GK,90,2,1,1,50,0,0.2,0,0,0,0,Match Report,FALSE
Lloris,2017-12-09,Sat,Premier League,Matchweek 16,Home,W 5–1,Tottenham,Stoke City,Y*,GK,90,3,1,2,66.7,0,0.8,0,0,0,0,Match Report,FALSE
Lloris,2017-12-13,Wed,Premier League,Matchweek 17,Home,W 2–0,Tottenham,Brighton,Y*,GK,90,4,0,4,100,1,0.3,0,0,0,0,Match Report,FALSE
Lloris,2017-12-16,Sat,Premier League,Matchweek 18,Away,L 1–4,Tottenham,Manchester City,Y*,GK,90,11,4,7,63.6,0,3.3,1,0,0,1,Match Report,FALSE
Lloris,2017-12-23,Sat,Premier League,Matchweek 19,Away,W 3–0,Tottenham,Burnley,Y*,GK,90,2,0,2,100,1,0.4,0,0,0,0,Match Report,FALSE
Lloris,2017-12-26,Tue,Premier League,Matchweek 20,Home,W 5–2,Tottenham,Southampton,Y*,GK,90,6,2,4,66.7,0,1,0,0,0,0,Match Report,FALSE
Lloris,2018-01-02,Tue,Premier League,Matchweek 22,Away,W 2–0,Tottenham,Swansea City,Y*,GK,90,1,0,1,100,1,0.6,0,0,0,0,Match Report,FALSE
Lloris,2018-01-04,Thu,Premier League,Matchweek 21,Home,D 1–1,Tottenham,West Ham,Y*,GK,90,1,1,0,0,0,0.4,0,0,0,0,Match Report,FALSE
Lloris,2018-01-13,Sat,Premier League,Matchweek 23,Home,W 4–0,Tottenham,Everton,Y*,GK,90,0,0,0,,1,0,0,0,0,0,Match Report,FALSE
Lloris,2018-01-31,Wed,Premier League,Matchweek 25,Home,W 2–0,Tottenham,Manchester Utd,Y*,GK,90,3,0,3,100,1,1.2,0,0,0,0,Match Report,FALSE
Lloris,2018-02-04,Sun,Premier League,Matchweek 26,Away,D 2–2,Tottenham,Liverpool,Y*,GK,90,3,2,1,33.3,0,1.9,0,0,0,0,Match Report,FALSE
Lloris,2018-02-10,Sat,Premier League,Matchweek 27,Home,W 1–0,Tottenham,Arsenal,Y*,GK,90,1,0,1,100,1,0.4,0,0,0,0,Match Report,FALSE
Lloris,2018-02-13,Tue,Champions Lg,Round of 16,Away,D 2–2,eng Tottenham,it Juventus,Y*,GK,90,5,2,3,80,0,2,2,1,0,1,Match Report,FALSE
Lloris,2018-02-25,Sun,Premier League,Matchweek 28,Away,W 1–0,Tottenham,Crystal Palace,Y*,GK,90,3,0,3,100,1,0.2,0,0,0,0,Match Report,FALSE
